id,matchRating,status,name,roleOrganization,occupation,pwdAtRelevance,country,tzDiffHours,localTimeInSlot,verificationStatus,contact,profileUrl,priorPublicSpeaking,outreachStatus,careerBackground,reputationActivity,notes
amar-latif-obe,5,new,Amar Latif OBE,"Founder & Director, Traveleyes","Entrepreneur/broadcaster, blind",Built and runs a travel company employing a team of specially trained staff to guide mixed blind/sighted group trips; now advises corporate boards on the commercial case for inclusion,UK,-2,12:00-15:00 BST (ideal),"Verified (Wikipedia, Speakers Associates, SeeAbility, own site)",Via traveleyes-international.com or a speaker bureau (Speakers Associates / Leading Authorities / Gordon Poole),traveleyes-international.com / amarlatif.com,Y — professional keynote speaker with an extensive TV career,Not sent,"Has retinitis pigmentosa, lost 95% of his sight by 18; was Head of Commercial Finance at BT before founding Traveleyes in 2004; BBC's Beyond Boundaries, first blind contestant on Celebrity MasterChef UK",OBE 2023 (King's Birthday Honours) for services to the visually impaired and entrepreneurship; Stelios Disabled Entrepreneur Award; President of The Ramblers,Rare combination of real employer story + corporate finance background + huge media polish
ashish-goyal,5,existing,Ashish Goyal,"Investment professional (Citadel/BlueCrest/JPM); Advisory Board, LSE Inclusion Initiative","Finance (portfolio manager), blind","Not an 'employer' himself, but a leading global advocate for disability hiring in finance; mentors young disabled professionals",UK (London),-2,12:00-15:00 BST (ideal),"Verified (Wharton Magazine, LSE, Wikipedia)",LinkedIn 'Ashish Goyal'; LSE Inclusion Initiative contact page,lse.ac.uk/people/ashish-goyal,"Y — podcasts, WEF Young Global Leader",Not sent,"World's first blind graduate of Wharton (2008) and first blind Wall Street trader (JPMorgan, 2009); later BlueCrest, Citadel, Pharo Management","2010 National Award for the Empowerment of People with Disabilities (India); WEF Young Global Leader 2015; advisory board, LSE Inclusion Initiative",Verified and well-timed for the slot
cornel-amariei,5,new,Cornel Amariei,"Founder, .lumen",Entrepreneur (AI wearables),"Developed AI-powered glasses for independent blind navigation using vibration-based spatial guidance, addressing the global shortage of guide dogs (28,000 dogs vs 338M visually impaired people)",Romania (Bucharest),0,14:00-17:00 EET (identical timezone to Sofia),"Verified (Tech Funding News CES 2026 coverage, EIC grant records)",Contact form at lumen.me (not individually verified this session),lumen.me,Y — CES 2026 exhibitor,Not sent,Founded .lumen in Romania in 2020; company has raised over EUR 16M including multiple EIC/EIT grants,Presented at CES 2026 as a European deep-tech standout,"Identical timezone to Sofia and geographically close (Romania) — very easy logistics, worth prioritizing"
dirk-m-ller-remus,5,existing,Dirk Müller-Remus,"Founder, auticon",Software developer turned social entrepreneur,Founded the world's first IT consultancy exclusively employing autistic professionals; now 552 employees across 15 countries,Germany,-1,13:00-16:00 CEST (ideal),"Verified (Wikipedia, Irish Times, EU-Startups, multiple press)",auticon.com contact form (current Group CEO is Luke Williams OBE — worth cc'ing),auticon.com,Y — Richard Branson has publicly praised the company; founder gives regular interviews,Not sent,Software developer whose son Ricardo was diagnosed with Asperger's at 14; founded auticon in Berlin in 2011 after attending a workshop where 25 unemployed but highly educated autistic adults spoke about their struggles,Virgin Group and Esmee Fairbairn Foundation invested in 2016; company now serves clients across 15 countries,Same excellent timezone as Sonne/Fabien; one of the strongest global examples of exactly what the brief asks for
francis-carl-reyes,5,existing,Francis Carl Reyes,"Founder & CEO, Caravan Food Group","Entrepreneur (mall dessert/food brand: Elait!, Overdoughs)",70+ deaf staff plus part-time employees with autism and Down syndrome across his stores,Philippines,5,"19:00-22:00 PHT (evening, workable)",Verified (Inquirer Business feature),Not found yet — try Caravan Food Group corporate page,(no verified URL yet),Y — press feature,Not sent,Was moved to hire deaf staff after a positive service experience with a deaf clothing-store employee as a teenager; built Caravan around that memory,Regularly cited in Philippine business press as a disability-hiring case study,"Concrete, quantified PWD-hiring story; young, media-friendly founder"
hans-j-rgen-wiberg,5,new,Hans Jørgen Wiberg,"Founder, Be My Eyes","Former furniture craftsman, social entrepreneur, visually impaired",Built the world's largest platform connecting blind/low-vision users to 3M+ sighted volunteers; now an official accessibility partner integrated into Microsoft and Google customer support,Denmark,-1,13:00-16:00 CEST (ideal),"Verified (EU-Startups, company site)",Via bemyeyes.com contact/press page,bemyeyes.com,Y — frequent conference and media appearances,Not sent,"Danish furniture craftsman, visually impaired himself; founded Be My Eyes in 2015 after learning blind friends were already using video calls to get sighted help","Named to the inaugural Forbes Accessibility 100 (2025); company partners with Microsoft, Google, Moovit, Clearblue",Excellent timezone; globally recognized brand name gives the invite extra weight
jennison-asuncion,5,new,Jennison Asuncion,"Head of Accessibility, LinkedIn","Corporate executive, blind","Leads the team enabling LinkedIn's global workforce of professionals with disabilities; co-founded Global Accessibility Awareness Day (GAAD), now a worldwide annual event",USA (San Francisco Bay Area),-10,"04:00-07:00 PDT (pre-dawn, unrealistic live)","Verified (InclusionHub, LinkedIn, GAAD Foundation)",LinkedIn profile /in/jennison; GAAD Foundation contact page,accessibility.day,"Y — GAAD anniversary events, PACE ACX keynote, many podcasts",Not sent,Started in accessibility in 2006 on RBC's (Royal Bank of Canada) IT accessibility team in Toronto; moved to LinkedIn/Silicon Valley in 2013; co-founded GAAD in 2012 and the GAAD Foundation in 2021,"Queen Elizabeth II Diamond Jubilee Medal (2012); AFB Stephen Garff Marriott Award (2018); Diversability D-30 Disability Impact List (2020); board member, LightHouse for the Blind SF","Blind himself, built GAAD into a global movement — excellent personal-story + employer-scale combination, but same bad US timezone"
jenny-lay-flurrie,5,new,Jenny Lay-Flurrie,"VP & Chief Accessibility Officer, Microsoft","Corporate executive, identifies as deaf and disabled","Built Microsoft's company-wide accessibility and disability-hiring strategy since 2016, including a dedicated autism hiring/training programme (running since 2015) and the Disability Answer Desk","USA (Redmond, WA)",-10,"04:00-07:00 PDT (pre-dawn, unrealistic live)","Verified (Microsoft, Disability:IN, US Senate testimony record)",Via Microsoft corporate press office or Disability:IN board contact,disabilityin.org/people/jenny-lay-flurrie,Y — testified before the US Senate HELP Committee; extremely frequent conference speaker,Not sent,Joined Microsoft in 2005 (Hotmail/Bing); founded Microsoft's Disability Employee Resource Group; became Chief Accessibility Officer in 2016,"White House 'Disability Employment Champion of Change' (2014); Fast Company Most Creative People in Business (2017); board chair, Disability:IN","The single highest-stature 'employer' name on the list, but the worst timezone — worth asking for a pre-recorded video message if she can't join live"
k-r-at-ceylan,5,new,Kürşat Ceylan,"Co-Founder & CEO, WeWALK","Engineer/entrepreneur, blind from birth","Created the WeWALK smart cane (GPS, obstacle sensors, Google Maps integration); part of Microsoft's AI for Good programme",Turkey (Istanbul),0,14:00-17:00 (identical timezone to Sofia),"Verified (Smithsonian, TRT World, TDK, multiple press)",Contact form at wewalk.io,wewalk.io,"Y — spoke at the UN Convention on the Rights of Persons with Disabilities, CNN, extensive international media",Not sent,"Blind from birth, studied Guidance & Psychological Counseling at Boğaziçi University; co-founded WeWALK in 2017 (company in 2019) after being injured navigating NYC with cane, phone and suitcase at once",Named a Time Magazine 'Best Invention' (2019); Microsoft AI for Good partner; products sold in 37+ countries,Identical timezone to Sofia — logistically the easiest international guest on the list
matthieu-masselin-and-nicolas-simon,5,new,Matthieu Masselin & Nicolas Simon,"CEO & Co-Founder / Chairman & Co-Founder, Wandercraft",Robotics entrepreneurs,Built Atalante X (FDA-cleared self-balancing exoskeleton for stroke/spinal-cord rehab) and the 'Eve' Personal Exoskeleton for everyday home/community use by people with severe mobility impairments — the strongest 'physically disabled' example found,France (Paris; Masselin based in Manhattan for US ops),-1,Simon: 13:00-16:00 CEST (ideal); Masselin: 07:00-10:00 EDT (early but workable),"Verified (Crunchbase, Fox Business, company site, multiple press)",Contact form at en.wandercraft.eu,en.wandercraft.eu,Y — Masselin spoke at UN Open Source Week 2026 and the French-American Chamber of Commerce; extensive TV coverage,Not sent,"Founded 2012 by Nicolas Simon (roboticist whose brother has Charcot-Marie-Tooth disease), Matthieu Masselin, and Jean-Louis Constanza (whose son also has CMT); Atalante FDA-cleared 2023; raised $75M Series D in 2025","Their exoskeletons carried the Olympic and Paralympic torch at Paris 2024, worn by Thibault Simon — Nicolas's brother, whose condition inspired the company","Best physical-disability/mobility story on the whole list; approach Simon first for the better timezone, or ask Masselin for a recorded segment"
